"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 22 18:13:27 CST 2020","Wed Jul 22 18:13:27 CST 2020","28","testCase.test_conferenceControl","test_conferenceControl_Kickoutmeeting","Test_conferenceControl_Kickoutmeeting","","","test_Kickoutmeeting001","
        :param setup_method: 在会议过程中，从会议中删除一个或多个与会人员
        :return:
        "
"passed","Tue Aug 11 18:05:34 CST 2020","Tue Aug 11 18:05:39 CST 2020","5351","testCase.test_RecordingAndVods","test_start_recording","Test_StartRecording","","","test_StartRecording001","
        用例描述： 开始录制视频
        "
"passed","Wed Jul 22 19:57:37 CST 2020","Wed Jul 22 19:57:37 CST 2020","255","testCase.test_conferenceControl","test_conferenceControl_QueryMeetingStatus","Test_conferenceControl_QueryMeetingStatus","","","test_QueryMeetingStatus001","
        用例描述：根据云会议室号查看当前会议全体成员的会议状态，查询的室企业云会议室号
        :param setup_function:
        :return:
        "
"passed","Tue Aug 11 18:05:40 CST 2020","Tue Aug 11 18:05:40 CST 2020","303","testCase.test_RecordingAndVods","test_vodsListAccordDeviceNum","Test_get_vodsListAccordDeviceNum","","","test_get_vodsListAccordDeviceNum001","
        function:按小鱼号分页获取视频列表
        :return:
        "
"passed","Tue Aug 11 18:05:40 CST 2020","Tue Aug 11 18:05:40 CST 2020","280","testCase.test_RecordingAndVods","test_get_vodsDownloadurl","Test_get_vodsDownloadurl","","","test_get_vodsDownloadurl001","
        用例描述： 开始录制视频
        "
"passed","Tue Aug 11 18:05:40 CST 2020","Tue Aug 11 18:05:41 CST 2020","327","testCase.test_RecordingAndVods","test_get_vodsListEnterpriseOneDay","Test_get_vodsListEnterpriseOneDay","","","test_get_vodsListEnterpriseOneDay","
        function:分页查询企业一天内的视频列表
        :return:
        "
"passed","Tue Aug 11 18:05:40 CST 2020","Tue Aug 11 18:05:40 CST 2020","316","testCase.test_RecordingAndVods","test_get_vodsListAccordMeetingroom","Test_get_vodsListAccordMeetingroom","","","test_get_vodsListAccordMeetingroom001","
        function:按云会议号分页获取视频列表
        :return:
        "
"passed","Tue Aug 11 18:05:39 CST 2020","Tue Aug 11 18:05:39 CST 2020","290","testCase.test_RecordingAndVods","test_StopRecording","Test_StopRecording","","","test_StopRecording001","
        用例描述： 开始录制视频
        "
